순위,등록번호,서명,저자,발행자,청구기호,대출횟수
1,EM0000277514,자신감이 없을 때 읽는 동화,서인영 지음 ; 유기훈 그림,기탄교육,독(J) 180-서69ㅈ=4,15
2,EM0000299983,(괜찮아 괜찮아) 슬퍼도 괜찮아,제임스 J. 크라이스트 글 ; 서영경 그림 ; 홍성미 옮김,길벗스쿨,독(J) 181-크231ㄷ=4,15
3,EM0000299981,(괜찮아 괜찮아) 두려워도 괜찮아,제임스 J. 크라이스트 글 ; 정은영 그림 ; 홍성미 옮김,길벗스쿨,독(J) 181-크231ㄷ=6,14
4,EM0000323201,신과 함께 :저승편,주호민 만화,애니북스,818-주95ㅅ-하,13
5,EM0000372768,마인드스쿨.1-5,"네온비 글, 도도 그림",고릴라박스(비룡소),J190-마69-2,13
6,EM0000351758,신과함께 :신화편,주호민 글.그림,애니북스,818-주95ㅅ-하,12
7,EM0000431612,명탐정 셜록 홈스,아서 코난 도일 원작;아시베 다쿠 편역;번역: 양수현,은하수미디어,J833.6-아59ㅁ,12
8,EM0000395374,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-5,12
9,EM0000395377,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-8,12
10,EM0000220006,솔로몬에게서 배우는 지혜,김선정 엮음 ; 최상훈 그림,겨자씨,J233.93-솔235,11
11,EM0000323200,신과 함께 :저승편,주호민 만화,애니북스,818-주95ㅅ-중,11
12,EM0000372769,마인드스쿨.1-5,"네온비 글, 도도 그림",고릴라박스(비룡소),J190-마69-3,11
13,EM0000431809,밴쿠버에서 보물찾기,곰돌이 co. 글 ; 강경효 그림,미래엔,J941-곰225ㅂ,11
14,EM0000431802,드래곤 빌리지 지리도감. 1-3,하이브로 편집부 지음,Highbrow,J980.2-드232-3,11
15,EM0000431670,(신비아파트)오싹오싹 무서운 이야기. 1-6,잇츠플레이 ; GBN 글 ; GBN 그림,서울문화사,J813.8-오51-4,11
16,EM0000430283,(Who? special)강수진,구선화 지음 ; 서영희 그림,다산어린이,J998.6-강57ㄱ,11
17,EM0000428468,"내일은 실험왕. 40, 원소의 대결",스토리 a. 저 ; 홍종현 그림 ; 박완규 ; 이창덕 감수,미래엔,J407-곰225ㄴ-40,11
18,EM0000425862,내일은 실험왕. 38-39,스토리 a. 글 ;  홍종현 그림,MiraeN·아이세움,J407-곰225ㄴ-39,11
19,EM0000418443,마인드 스쿨. 14-15,소노수정 글·그림,고릴라박스,J190-마69-15,11
20,EM0000418442,마인드 스쿨. 14-15,소노수정 글·그림,고릴라박스,J190-마69-14,11
21,EM0000387466,마인드 스쿨,"김미영 글, 그림",고릴라박스,J190-마69-9,11
22,KT0000005278,(6)할머니는 죽지 않는다,공지영,해냄,녹음도서 813.7-공79ㅎ,11
23,EM0000335753,왜 나만 미워해! : 복잡한 감정 이해하기,박현진 글 ; 윤정주 그림,천둥거인,독(J) 180-박94ㅇ=4,11
24,EM0000344198,"마법천자문 : 손오공의 한자 대탐험. 22, 한계를 뛰어 넘어라 뛰어넘을 초",올댓스토리 글 ; 홍거북 그림,아울북,J711.47-시239ㅁ-22,11
25,EM0000335751,대화가 필요해! : 평화를 가져오는 대화법,박현진 글 ; 윤정주 그림,천둥거인,독(J) 180-박94ㄷ=6,11
26,EM0000213958,빨간기린,나가사키 나쓰미 글 ; 오구라 마사미 그림 ; 서금석 옮김,푸른길,J833.8-나11ㅃ,10
27,EM0000236026,(초등학생이 꼭 읽어야 할)101가지 세계문화유산,꼬마도깨비 글,지경사,J902.5-꼬31ㅂ,10
28,EM0000240556,넌 왜 나랑 달라？,"박경선 글, 강희대 그림",흙마당,J813.8-박14ㄴ=3,10
29,EM0000225443,개에 대한 101가지 비밀,타카시 토시코 글 ; 해바라기 옮김,예림당,J527.41-타821ㄱ,10
30,EM0000250987,바보 1단,"김영주 글, 정문주 그림",웅진씽크빅,J813.8-김64ㅂ,10
31,EM0000381703,"한국사 탐험 만화 역사상식. 10, 고려 시대 보물찾기 2",글: 곰돌이 co. ; 그림: 강경효,미래엔,J911-한17-10,10
